candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
4xwo_O+P|M_0,B:U,4XWO,2.75,xray,O:P,M,4xwo,2.75,xray,O:P,3IDQ,3.7,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4xwo_W+X|T_0,B:U,4XWO,2.75,xray,W:X,T,4xwo,2.75,xray,W:X,3IDQ,3.7,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4xwo_C+D|A_0,B:U,4XWO,2.75,xray,C:D,A,4xwo,2.75,xray,C:D,3IDQ,3.7,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4xwo_K+L|H_0,B:U,4XWO,2.75,xray,K:L,H,4xwo,2.75,xray,K:L,3IDQ,3.7,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4xwo_E+F|B_0,B:U,4XWO,2.75,xray,E:F,B,4xwo,2.75,xray,E:F,3IDQ,3.7,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4xtr_E+F|A_0,B:U,4XTR,2.05,xray,E:F,A,4xtr,2.05,xray,E:F,3IDQ,3.7,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4xtr_C+D|B_0,B:U,4XTR,2.05,xray,C:D,B,4xtr,2.05,xray,C:D,3IDQ,3.7,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4xvu_E+F|A_0,B:U,4XVU,2.35,xray,E:F,A,4xvu,2.35,xray,E:F,3IDQ,3.7,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4xvu_I+J|H_0,B:U,4XVU,2.35,xray,I:J,H,4xvu,2.35,xray,I:J,3IDQ,3.7,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4xvu_C+D|B_0,B:U,4XVU,2.35,xray,C:D,B,4xvu,2.35,xray,C:D,3IDQ,3.7,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4xwo_Q+R|N_0,B:U,4XWO,2.75,xray,Q:R,N,4xwo,2.75,xray,Q:R,3IDQ,3.7,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4xwo_U+V|S_0,B:U,4XWO,2.75,xray,U:V,S,4xwo,2.75,xray,U:V,3IDQ,3.7,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
