candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
3hi6_H+L|A_0,U:U,3HI6,H:L,A,2.30,xray,3HI5,2.50,xray,H:L,3F74,1.70,xray,A,0,2,NA,0,1,0,1,0,1,0,3
3hi6_H+L|A_1,U:U,3HI6,H:L,A,2.30,xray,3HI5,2.50,xray,H:L,3F74,1.70,xray,B,0,2,NA,0,1,0,1,0,1,0,3
3hi6_H+L|A_2,U:U,3HI6,H:L,A,2.30,xray,3HI5,2.50,xray,H:L,3F74,1.70,xray,C,0,2,NA,0,1,0,1,0,1,0,3
3hi6_H+L|A_3,U:U,3HI6,H:L,A,2.30,xray,3HI5,2.50,xray,H:L,1MJN,1.30,xray,A,0,1,NA,0,1,0,1,0,1,0,2
3hi6_H+L|A_4,U:U,3HI6,H:L,A,2.30,xray,3HI5,2.50,xray,H:L,2ICA,1.56,xray,A,0,3,small molecules with n_atoms > 15 detected,0,1,0,1,0,1,0,4
3hi6_H+L|A_5,U:U,3HI6,H:L,A,2.30,xray,3HI5,2.50,xray,H:L,3F78,1.60,xray,A,0,2,small molecules with 7 < n_atoms <= 15 detected,0,1,0,1,0,1,0,3
3hi6_H+L|A_6,U:U,3HI6,H:L,A,2.30,xray,3HI5,2.50,xray,H:L,3F78,1.60,xray,B,0,2,small molecules with 7 < n_atoms <= 15 detected,0,1,0,1,0,1,0,3
3hi6_H+L|A_7,U:U,3HI6,H:L,A,2.30,xray,3HI5,2.50,xray,H:L,3F78,1.60,xray,C,0,2,NA,0,1,0,1,0,1,0,3
3hi6_H+L|A_8,U:U,3HI6,H:L,A,2.30,xray,3HI5,2.50,xray,H:L,2O7N,1.75,xray,A,0,3,small molecules with n_atoms > 15 detected,0,1,0,1,0,1,0,3
3hi6_X+Y|B_0,U:U,3HI6,X:Y,B,2.30,xray,3HI5,2.50,xray,H:L,3F74,1.70,xray,A,0,2,NA,0,1,0,2,0,1,0,3
3hi6_X+Y|B_1,U:U,3HI6,X:Y,B,2.30,xray,3HI5,2.50,xray,H:L,3F74,1.70,xray,B,0,2,NA,0,1,0,2,0,1,0,3
3hi6_X+Y|B_3,U:U,3HI6,X:Y,B,2.30,xray,3HI5,2.50,xray,H:L,1MJN,1.30,xray,A,0,1,NA,0,1,0,2,0,1,0,2
3hi6_X+Y|B_4,U:U,3HI6,X:Y,B,2.30,xray,3HI5,2.50,xray,H:L,2ICA,1.56,xray,A,0,3,small molecules with n_atoms > 15 detected,0,1,0,2,0,1,0,4
3hi6_X+Y|B_5,U:U,3HI6,X:Y,B,2.30,xray,3HI5,2.50,xray,H:L,3F78,1.60,xray,A,0,2,small molecules with 7 < n_atoms <= 15 detected,0,1,0,2,0,1,0,3
3hi6_X+Y|B_6,U:U,3HI6,X:Y,B,2.30,xray,3HI5,2.50,xray,H:L,3F78,1.60,xray,B,0,2,small molecules with 7 < n_atoms <= 15 detected,0,1,0,2,0,0,0,3
3hi6_X+Y|B_7,U:U,3HI6,X:Y,B,2.30,xray,3HI5,2.50,xray,H:L,3F78,1.60,xray,C,0,2,NA,0,1,0,2,0,0,0,3
3hi6_X+Y|B_8,U:U,3HI6,X:Y,B,2.30,xray,3HI5,2.50,xray,H:L,2O7N,1.75,xray,A,0,3,small molecules with n_atoms > 15 detected,0,1,0,2,0,1,0,3
