candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
1kxt_B|A_3,B:U,1KXT,2.0,xray,B,A,1kxt,2.0,xray,B,1HX0,1.38,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
1kxt_F|E_3,B:U,1KXT,2.0,xray,F,E,1kxt,2.0,xray,F,1UA3,2.01,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
1kxt_F|E_1,B:U,1KXT,2.0,xray,F,E,1kxt,2.0,xray,F,1JFH,2.03,xray,A,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
1kxt_B|A_4,B:U,1KXT,2.0,xray,B,A,1kxt,2.0,xray,B,3L2M,1.97,xray,A,0,6,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
1kxt_D|C_2,B:U,1KXT,2.0,xray,D,C,1kxt,2.0,xray,D,3L2M,1.97,xray,A,0,6,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
1kxt_B|A_2,B:U,1KXT,2.0,xray,B,A,1kxt,2.0,xray,B,1WO2,2.01,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
1kxt_F|E_4,B:U,1KXT,2.0,xray,F,E,1kxt,2.0,xray,F,1WO2,2.01,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
1kxt_B|A_0,B:U,1KXT,2.0,xray,B,A,1kxt,2.0,xray,B,1UA3,2.01,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
1kxt_F|E_2,B:U,1KXT,2.0,xray,F,E,1kxt,2.0,xray,F,1HX0,1.38,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
1kxt_D|C_0,B:U,1KXT,2.0,xray,D,C,1kxt,2.0,xray,D,1HX0,1.38,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
1kxt_D|C_3,B:U,1KXT,2.0,xray,D,C,1kxt,2.0,xray,D,1UA3,2.01,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
1kxt_B|A_1,B:U,1KXT,2.0,xray,B,A,1kxt,2.0,xray,B,1JFH,2.03,xray,A,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
1kxt_D|C_4,B:U,1KXT,2.0,xray,D,C,1kxt,2.0,xray,D,1JFH,2.03,xray,A,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
1kxt_F|E_0,B:U,1KXT,2.0,xray,F,E,1kxt,2.0,xray,F,3L2M,1.97,xray,A,0,6,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
