candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
4xx1_H+L|A_8,B:U,4XX1,3.6,xray,H:L,A,4xx1,3.6,xray,H:L,4X96,8.69,xray,C,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5bv7_C+B|A_0,B:U,5BV7,2.45,xray,C:B,A,5bv7,2.45,xray,C:B,4X96,8.69,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5bv7_C+B|A_1,B:U,5BV7,2.45,xray,C:B,A,5bv7,2.45,xray,C:B,4X96,8.69,xray,B,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4xx1_M+O|J_3,B:U,4XX1,3.6,xray,M:O,J,4xx1,3.6,xray,M:O,5TXF,3.1,xray,D,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4xx1_M+O|J_5,B:U,4XX1,3.6,xray,M:O,J,4xx1,3.6,xray,M:O,4X96,8.69,xray,B,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4xx1_E+G|B_2,B:U,4XX1,3.6,xray,E:G,B,4xx1,3.6,xray,E:G,5TXF,3.1,xray,C,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4xx1_E+G|B_8,B:U,4XX1,3.6,xray,E:G,B,4xx1,3.6,xray,E:G,6MVD,3.1,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4xwg_H+L|A_3,B:U,4XWG,2.65,xray,H:L,A,4xwg,2.65,xray,H:L,5TXF,3.1,xray,D,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4xwg_H+L|A_7,B:U,4XWG,2.65,xray,H:L,A,4xwg,2.65,xray,H:L,4X96,8.69,xray,D,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4xx1_H+L|A_0,B:U,4XX1,3.6,xray,H:L,A,4xx1,3.6,xray,H:L,5TXF,3.1,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
