candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
5g64_H+L|A_3,U:U,5G64,3.71,xray,H:L,A,6TCO,1.8,xray,B:A,5LGJ,2.6,xray,A,2,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5g64_I+M|B_5,U:U,5G64,3.71,xray,I:M,B,6TCO,1.8,xray,H:L,5LGJ,2.6,xray,A,2,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5g64_H+L|A_5,U:U,5G64,3.71,xray,H:L,A,6TCN,2.3,xray,H:L,5LGJ,2.6,xray,A,3,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5g64_H+L|A_4,U:U,5G64,3.71,xray,H:L,A,6TCR,1.45,xray,H:L,5LGJ,2.6,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5g64_H+L|A_11,U:U,5G64,3.71,xray,H:L,A,6TCR,1.45,xray,H:L,5LGJ,2.6,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5g64_I+M|B_2,U:U,5G64,3.71,xray,I:M,B,6TCR,1.45,xray,H:L,5LGJ,2.6,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5g64_I+M|B_9,U:U,5G64,3.71,xray,I:M,B,6TCR,1.45,xray,H:L,5LGJ,2.6,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5g64_H+L|A_1,U:U,5G64,3.71,xray,H:L,A,6TCQ,2.05,xray,H:L,5LGJ,2.6,xray,A,1,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5g64_H+L|A_8,U:U,5G64,3.71,xray,H:L,A,6TCQ,2.05,xray,H:L,5LGJ,2.6,xray,B,1,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5g64_I+M|B_0,U:U,5G64,3.71,xray,I:M,B,6TCQ,2.05,xray,H:L,5LGJ,2.6,xray,A,1,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
