candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
4h8w_H+L|G_1,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,A:B,4DKR,1.8,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.186,0.177,0.894
4h8w_H+L|G_2,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,C:D,4DKR,1.8,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.184,0.173,0.891
4h8w_H+L|G_3,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,E:F,4DKR,1.8,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.207,0.197,0.754
4h8w_H+L|G_4,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,H:L,4DKR,1.8,xray,C,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.144,0.141,0.583
4h8w_H+L|G_5,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,A:B,4DKR,1.8,xray,C,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.236,0.226,1.059
4h8w_H+L|G_6,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,C:D,4DKR,1.8,xray,C,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.234,0.223,1.065
4h8w_H+L|G_7,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,E:F,4DKR,1.8,xray,C,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.253,0.242,0.942
4h8w_H+L|G_8,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,H:L,4DKP,1.8,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.054,0.049,0.532
4h8w_H+L|G_9,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,A:B,4DKP,1.8,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.194,0.184,1.041
4h8w_H+L|G_10,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,C:D,4DKP,1.8,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.192,0.179,1.038
4h8w_H+L|G_11,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,E:F,4DKP,1.8,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.214,0.203,0.923
4h8w_H+L|G_12,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,H:L,4DKP,1.8,xray,C,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.127,0.122,0.741
4h8w_H+L|G_13,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,A:B,4DKP,1.8,xray,C,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.226,0.216,1.1
4h8w_H+L|G_14,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,C:D,4DKP,1.8,xray,C,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.223,0.211,1.156
4h8w_H+L|G_15,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,E:F,4DKP,1.8,xray,C,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.244,0.232,0.981
4h8w_H+L|G_16,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,H:L,4DKQ,1.89,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.151,0.142,0.51
4h8w_H+L|G_17,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,A:B,4DKQ,1.89,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.24,0.227,1.028
4h8w_H+L|G_18,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,C:D,4DKQ,1.89,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.238,0.224,1.026
4h8w_H+L|G_19,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,E:F,4DKQ,1.89,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.257,0.243,0.909
4h8w_H+L|G_20,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,H:L,4RZ8,1.9,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.162,0.153,0.696
4h8w_H+L|G_21,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,A:B,4RZ8,1.9,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.24,0.226,1.104
4h8w_H+L|G_22,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,C:D,4RZ8,1.9,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.245,0.231,1.131
4h8w_H+L|G_23,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,E:F,4RZ8,1.9,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.263,0.249,1.026
4h8w_H+L|G_24,U:U,4H8W,1.85,xray,H:L,G,3TNN,1.95,xray,H:L,4RZ8,1.9,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,3,0,0,0,3,0.159,0.156,0.665
