comp_name,candidate_type,candidate_id,pdb_id_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_chain_ids_u,ag_pdb_id_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps,one_side_gaps,long_gaps,total_gaps
3rvx_D+C|A,U:U,1,3RVX,D:C,A,3RVT,D:C,3F5V,A,0,2,NA,0,0,1,2
3rvx_D+C|A,U:U,2,3RVX,D:C,A,3RVU,D:C,3F5V,B,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,1,4
3rvx_D+C|A,U:U,3,3RVX,D:C,A,3RVT,D:C,3F5V,B,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,1,2
3rvx_D+C|A,U:U,4,3RVX,D:C,A,3RVU,D:C,1XKG,A,0,3,NA,0,1,1,6
3rvx_D+C|A,U:U,5,3RVX,D:C,A,3RVT,D:C,1XKG,A,0,3,NA,0,1,1,4
3rvw_D+C|A,U:U,0,3RVW,D:C,A,3RVU,D:C,3F5V,A,0,2,NA,0,0,1,4
3rvw_D+C|A,U:U,1,3RVW,D:C,A,3RVT,D:C,3F5V,A,0,2,NA,0,0,1,2
3rvw_D+C|A,U:U,2,3RVW,D:C,A,3RVU,D:C,3F5V,B,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,1,4
3rvw_D+C|A,U:U,3,3RVW,D:C,A,3RVT,D:C,3F5V,B,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,1,2
3rvw_D+C|A,U:U,4,3RVW,D:C,A,3RVU,D:C,1XKG,A,0,3,NA,0,1,1,6
3rvw_D+C|A,U:U,5,3RVW,D:C,A,3RVT,D:C,1XKG,A,0,3,NA,0,1,1,4
5vpg_D+C|A,U:U,0,5VPG,D:C,A,3RVU,D:C,3F5V,A,0,1,NA,0,0,1,4
5vpg_D+C|A,U:U,1,5VPG,D:C,A,3RVT,D:C,3F5V,A,0,1,NA,0,0,1,2
5vpg_D+C|A,U:U,2,5VPG,D:C,A,3RVU,D:C,3F5V,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,1,4
5vpg_D+C|A,U:U,3,5VPG,D:C,A,3RVT,D:C,3F5V,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,1,2
5vpg_D+C|A,U:U,4,5VPG,D:C,A,3RVU,D:C,1XKG,A,0,2,NA,0,1,1,6
5vpg_D+C|A,U:U,5,5VPG,D:C,A,3RVT,D:C,1XKG,A,0,2,NA,0,1,1,4
5vph_D+C|A,U:U,0,5VPH,D:C,A,3RVU,D:C,3F5V,A,0,1,NA,0,0,1,4
5vph_D+C|A,U:U,1,5VPH,D:C,A,3RVT,D:C,3F5V,A,0,1,NA,0,0,1,2
5vph_D+C|A,U:U,2,5VPH,D:C,A,3RVU,D:C,3F5V,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,1,4
5vph_D+C|A,U:U,3,5VPH,D:C,A,3RVT,D:C,3F5V,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,1,2
5vph_D+C|A,U:U,4,5VPH,D:C,A,3RVU,D:C,1XKG,A,0,2,NA,0,1,1,6
5vph_D+C|A,U:U,5,5VPH,D:C,A,3RVT,D:C,1XKG,A,0,2,NA,0,1,1,4
