candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
6oc3_C+D|E_1,B:U,6OC3,2.85,xray,C:D,E,6oc3,2.85,xray,C:D,6CHX,1.4,xray,B,0,2,NA,0,0,0,0,0,0,0,0
6oc3_A+B|F_0,B:U,6OC3,2.85,xray,A:B,F,6oc3,2.85,xray,A:B,6CHX,1.4,xray,A,0,2,NA,0,0,0,0,0,0,0,0
6oc3_A+B|F_1,B:U,6OC3,2.85,xray,A:B,F,6oc3,2.85,xray,A:B,6CHX,1.4,xray,B,0,2,NA,0,0,0,0,0,0,0,0
6oc3_A+B|F_2,B:U,6OC3,2.85,xray,A:B,F,6oc3,2.85,xray,A:B,6CHX,1.4,xray,A,0,2,NA,0,0,0,0,0,0,0,0
6oc3_A+B|F_3,B:U,6OC3,2.85,xray,A:B,F,6oc3,2.85,xray,A:B,6CHX,1.4,xray,B,0,2,NA,0,0,0,0,0,0,0,0
