candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
6adc_E+F|B_0,B:U,6ADC,3.06,xray,E:F,B,6adc,3.06,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2h2p_E+F|B_0,B:U,2H2P,3.1,xray,E:F,B,2h2p,3.1,xray,E:F,3NMO,3.1,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
3ejz_C+D|A_0,B:U,3EJZ,2.9,xray,C:D,A,3ejz,2.9,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2h2s_E+F|B_0,B:U,2H2S,3.1,xray,E:F,B,2h2s,3.1,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2fed_C+D|A_0,B:U,2FED,3.32,xray,C:D,A,2fed,3.32,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2htl_C+D|A_0,B:U,2HTL,3.4,xray,C:D,A,2htl,3.4,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6ad8_E+F|B_0,B:U,6AD8,3.3,xray,E:F,B,6ad8,3.3,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4ene_E+F|B_0,B:U,4ENE,2.4,xray,E:F,B,4ene,2.4,xray,E:F,3NMO,3.1,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2htk_C+D|A_0,B:U,2HTK,3.41,xray,C:D,A,2htk,3.41,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6k5d_E+F|B_0,B:U,6K5D,3.2,xray,E:F,B,6k5d,3.2,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5hd8_E+F|B_0,B:U,5HD8,3.15,xray,E:F,B,5hd8,3.15,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
3ejy_C+D|A_0,B:U,3EJY,3.2,xray,C:D,A,3ejy,3.2,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4ene_C+D|A_0,B:U,4ENE,2.4,xray,C:D,A,4ene,2.4,xray,C:D,3NMO,3.1,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2r9h_C+D|A_0,B:U,2R9H,3.1,xray,C:D,A,2r9h,3.1,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2h2p_C+D|A_0,B:U,2H2P,3.1,xray,C:D,A,2h2p,3.1,xray,C:D,3NMO,3.1,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2fee_J+O|A_0,B:U,2FEE,3.2,xray,J:O,A,2fee,3.2,xray,J:O,3NMO,3.1,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6k5i_C+D|A_0,B:U,6K5I,3.02,xray,C:D,A,6k5i,3.02,xray,C:D,3NMO,3.1,xray,A,0,5,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2exw_E+F|B_0,B:U,2EXW,3.2,xray,E:F,B,2exw,3.2,xray,E:F,3NMO,3.1,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6ad8_C+D|A_0,B:U,6AD8,3.3,xray,C:D,A,6ad8,3.3,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
1otu_E+F|B_0,B:U,1OTU,3.3,xray,E:F,B,1otu,3.3,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2ez0_C+D|A_0,B:U,2EZ0,3.54,xray,C:D,A,2ez0,3.54,xray,C:D,3NMO,3.1,xray,A,0,5,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2htl_E+F|B_0,B:U,2HTL,3.4,xray,E:F,B,2htl,3.4,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6adb_C+D|A_0,B:U,6ADB,2.69,xray,C:D,A,6adb,2.69,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2fec_I+L|B_0,B:U,2FEC,3.97,xray,I:L,B,2fec,3.97,xray,I:L,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2fed_E+F|B_0,B:U,2FED,3.32,xray,E:F,B,2fed,3.32,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2hlf_E+F|B_0,B:U,2HLF,3.3,xray,E:F,B,2hlf,3.3,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4fg6_E+F|B_0,B:U,4FG6,3.02,xray,E:F,B,4fg6,3.02,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2htk_E+F|B_0,B:U,2HTK,3.41,xray,E:F,B,2htk,3.41,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
1ott_E+F|B_0,B:U,1OTT,3.0,xray,E:F,B,1ott,3.0,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6k5d_C+D|A_0,B:U,6K5D,3.2,xray,C:D,A,6k5d,3.2,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2exy_E+F|B_0,B:U,2EXY,3.1,xray,E:F,B,2exy,3.1,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6k5f_E+F|B_0,B:U,6K5F,3.2,xray,E:F,B,6k5f,3.2,xray,E:F,3NMO,3.1,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
1ott_C+D|A_0,B:U,1OTT,3.0,xray,C:D,A,1ott,3.0,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6adb_E+F|B_0,B:U,6ADB,2.69,xray,E:F,B,6adb,2.69,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2fec_J+O|A_0,B:U,2FEC,3.97,xray,J:O,A,2fec,3.97,xray,J:O,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2fec_J+O|A_1,B:U,2FEC,3.97,xray,J:O,A,2fec,3.97,xray,J:O,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
3det_E+F|B_0,B:U,3DET,2.8,xray,E:F,B,3det,2.8,xray,E:F,3NMO,3.1,xray,A,0,4,NA,0,0,0,0,0,0,0,0,NA,NA,NA
3det_E+F|B_1,B:U,3DET,2.8,xray,E:F,B,3det,2.8,xray,E:F,3NMO,3.1,xray,A,0,4,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2exy_C+D|A_0,B:U,2EXY,3.1,xray,C:D,A,2exy,3.1,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2exy_C+D|A_1,B:U,2EXY,3.1,xray,C:D,A,2exy,3.1,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2exw_C+D|A_0,B:U,2EXW,3.2,xray,C:D,A,2exw,3.2,xray,C:D,3NMO,3.1,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2exw_C+D|A_1,B:U,2EXW,3.2,xray,C:D,A,2exw,3.2,xray,C:D,3NMO,3.1,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
3ejy_E+F|B_0,B:U,3EJY,3.2,xray,E:F,B,3ejy,3.2,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
3ejy_E+F|B_1,B:U,3EJY,3.2,xray,E:F,B,3ejy,3.2,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2ht4_C+D|A_0,B:U,2HT4,3.2,xray,C:D,A,2ht4,3.2,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2ht4_C+D|A_1,B:U,2HT4,3.2,xray,C:D,A,2ht4,3.2,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4fg6_C+D|A_0,B:U,4FG6,3.02,xray,C:D,A,4fg6,3.02,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4fg6_C+D|A_1,B:U,4FG6,3.02,xray,C:D,A,4fg6,3.02,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6ada_E+F|B_0,B:U,6ADA,3.15,xray,E:F,B,6ada,3.15,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6k5f_C+D|A_0,B:U,6K5F,3.2,xray,C:D,A,6k5f,3.2,xray,C:D,3NMO,3.1,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
1ots_E+F|B_0,B:U,1OTS,2.51,xray,E:F,B,1ots,2.51,xray,E:F,3NMO,3.1,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2r9h_E+F|B_0,B:U,2R9H,3.1,xray,E:F,B,2r9h,3.1,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6ada_C+D|A_0,B:U,6ADA,3.15,xray,C:D,A,6ada,3.15,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2ht3_C+D|A_0,B:U,2HT3,3.3,xray,C:D,A,2ht3,3.3,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6k5i_E+F|B_0,B:U,6K5I,3.02,xray,E:F,B,6k5i,3.02,xray,E:F,3NMO,3.1,xray,A,0,5,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2ht3_E+F|B_0,B:U,2HT3,3.3,xray,E:F,B,2ht3,3.3,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6ad7_C+D|A_0,B:U,6AD7,2.95,xray,C:D,A,6ad7,2.95,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5hd8_C+D|A_0,B:U,5HD8,3.15,xray,C:D,A,5hd8,3.15,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2h2s_C+D|A_0,B:U,2H2S,3.1,xray,C:D,A,2h2s,3.1,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
3det_C+D|A_0,B:U,3DET,2.8,xray,C:D,A,3det,2.8,xray,C:D,3NMO,3.1,xray,A,0,4,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2hlf_C+D|A_0,B:U,2HLF,3.3,xray,C:D,A,2hlf,3.3,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6k5a_E+F|B_0,B:U,6K5A,3.16,xray,E:F,B,6k5a,3.16,xray,E:F,3NMO,3.1,xray,A,0,5,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2ht4_E+F|B_0,B:U,2HT4,3.2,xray,E:F,B,2ht4,3.2,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
1otu_C+D|A_0,B:U,1OTU,3.3,xray,C:D,A,1otu,3.3,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2ht2_E+F|B_0,B:U,2HT2,3.32,xray,E:F,B,2ht2,3.32,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
3ejz_E+F|B_0,B:U,3EJZ,2.9,xray,E:F,B,3ejz,2.9,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6ad7_E+F|B_0,B:U,6AD7,2.95,xray,E:F,B,6ad7,2.95,xray,E:F,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6k5a_C+D|A_0,B:U,6K5A,3.16,xray,C:D,A,6k5a,3.16,xray,C:D,3NMO,3.1,xray,A,0,5,NA,0,0,0,0,0,0,0,0,NA,NA,NA
1ots_C+D|A_0,B:U,1OTS,2.51,xray,C:D,A,1ots,2.51,xray,C:D,3NMO,3.1,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6adc_C+D|A_0,B:U,6ADC,3.06,xray,C:D,A,6adc,3.06,xray,C:D,3NMO,3.1,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
