candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
3rvw_D+C|A_1,U:U,3RVW,1.95,xray,D:C,A,3RVT,2.05,xray,D:C,1XKG,1.61,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
3rvw_D+C|A_2,U:U,3RVW,1.95,xray,D:C,A,3RVU,2.5,xray,D:C,3F5V,1.36,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
3rvw_D+C|A_3,U:U,3RVW,1.95,xray,D:C,A,3RVT,2.05,xray,D:C,3F5V,1.36,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
3rvw_D+C|A_4,U:U,3RVW,1.95,xray,D:C,A,3RVU,2.5,xray,D:C,3F5V,1.36,xray,B,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
3rvw_D+C|A_5,U:U,3RVW,1.95,xray,D:C,A,3RVT,2.05,xray,D:C,3F5V,1.36,xray,B,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5vpg_D+C|A_0,U:U,5VPG,1.95,xray,D:C,A,3RVT,2.05,xray,D:C,3F5V,1.36,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5vpg_D+C|A_1,U:U,5VPG,1.95,xray,D:C,A,3RVU,2.5,xray,D:C,3F5V,1.36,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5vpg_D+C|A_2,U:U,5VPG,1.95,xray,D:C,A,3RVT,2.05,xray,D:C,3F5V,1.36,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5vpg_D+C|A_3,U:U,5VPG,1.95,xray,D:C,A,3RVU,2.5,xray,D:C,3F5V,1.36,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5vpg_D+C|A_4,U:U,5VPG,1.95,xray,D:C,A,3RVT,2.05,xray,D:C,1XKG,1.61,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5vpg_D+C|A_5,U:U,5VPG,1.95,xray,D:C,A,3RVU,2.5,xray,D:C,1XKG,1.61,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
3rvx_D+C|A_0,U:U,3RVX,2.5,xray,D:C,A,3RVU,2.5,xray,D:C,3F5V,1.36,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
3rvx_D+C|A_1,U:U,3RVX,2.5,xray,D:C,A,3RVT,2.05,xray,D:C,3F5V,1.36,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
3rvx_D+C|A_2,U:U,3RVX,2.5,xray,D:C,A,3RVU,2.5,xray,D:C,3F5V,1.36,xray,B,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
3rvx_D+C|A_3,U:U,3RVX,2.5,xray,D:C,A,3RVT,2.05,xray,D:C,3F5V,1.36,xray,B,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
3rvx_D+C|A_4,U:U,3RVX,2.5,xray,D:C,A,3RVU,2.5,xray,D:C,1XKG,1.61,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
3rvx_D+C|A_5,U:U,3RVX,2.5,xray,D:C,A,3RVT,2.05,xray,D:C,1XKG,1.61,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
