candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
6i8s_G+K|C_0,B:U,6I8S,2.9,xray,G:K,C,6i8s,2.9,xray,G:K,3Q02,2.3,xray,A,0,5,NA,0,0,0,0,0,0,0,0
6i8s_G+K|C_2,B:U,6I8S,2.9,xray,G:K,C,6i8s,2.9,xray,G:K,3CVM,2.02,xray,A,0,1,NA,0,0,0,0,0,0,0,0
6i8s_G+K|C_3,B:U,6I8S,2.9,xray,G:K,C,6i8s,2.9,xray,G:K,3CVM,2.02,xray,B,0,1,NA,0,0,0,0,0,0,0,0
6i8s_G+K|C_4,B:U,6I8S,2.9,xray,G:K,C,6i8s,2.9,xray,G:K,4G8R,2.19,xray,A,0,0,NA,0,0,0,0,0,0,0,0
6i8s_G+K|C_5,B:U,6I8S,2.9,xray,G:K,C,6i8s,2.9,xray,G:K,4G8R,2.19,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6i8s_G+K|C_6,B:U,6I8S,2.9,xray,G:K,C,6i8s,2.9,xray,G:K,1LJ5,1.8,xray,A,0,4,NA,0,0,0,0,0,0,0,0
6i8s_G+K|C_7,B:U,6I8S,2.9,xray,G:K,C,6i8s,2.9,xray,G:K,1DVN,2.1,xray,A,0,4,NA,0,0,0,0,0,0,0,0
6i8s_F+J|B_0,B:U,6I8S,2.9,xray,F:J,B,6i8s,2.9,xray,F:J,3Q02,2.3,xray,A,0,5,NA,0,0,0,0,0,0,0,0
6i8s_F+J|B_1,B:U,6I8S,2.9,xray,F:J,B,6i8s,2.9,xray,F:J,3Q02,2.3,xray,B,0,5,NA,0,0,0,0,0,0,0,0
6i8s_F+J|B_2,B:U,6I8S,2.9,xray,F:J,B,6i8s,2.9,xray,F:J,3CVM,2.02,xray,A,0,1,NA,0,0,0,0,0,0,0,0
6i8s_F+J|B_3,B:U,6I8S,2.9,xray,F:J,B,6i8s,2.9,xray,F:J,3CVM,2.02,xray,B,0,1,NA,0,0,0,0,0,0,0,0
6i8s_F+J|B_4,B:U,6I8S,2.9,xray,F:J,B,6i8s,2.9,xray,F:J,4G8R,2.19,xray,A,0,0,NA,0,0,0,0,0,0,0,0
6i8s_F+J|B_5,B:U,6I8S,2.9,xray,F:J,B,6i8s,2.9,xray,F:J,4G8R,2.19,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6i8s_F+J|B_6,B:U,6I8S,2.9,xray,F:J,B,6i8s,2.9,xray,F:J,1LJ5,1.8,xray,A,0,4,NA,0,0,0,0,0,0,0,0
6i8s_F+J|B_7,B:U,6I8S,2.9,xray,F:J,B,6i8s,2.9,xray,F:J,1DVN,2.1,xray,A,0,4,NA,0,0,0,0,0,0,0,0
6i8s_H+L|D_0,B:U,6I8S,2.9,xray,H:L,D,6i8s,2.9,xray,H:L,3Q02,2.3,xray,A,0,5,NA,0,0,0,0,0,0,0,0
6i8s_H+L|D_1,B:U,6I8S,2.9,xray,H:L,D,6i8s,2.9,xray,H:L,3Q02,2.3,xray,B,0,5,NA,0,0,0,0,0,0,0,0
6i8s_H+L|D_2,B:U,6I8S,2.9,xray,H:L,D,6i8s,2.9,xray,H:L,1LJ5,1.8,xray,A,0,4,NA,0,0,0,0,0,0,0,0
6i8s_H+L|D_3,B:U,6I8S,2.9,xray,H:L,D,6i8s,2.9,xray,H:L,3CVM,2.02,xray,A,0,1,NA,0,0,0,0,0,0,0,0
6i8s_H+L|D_4,B:U,6I8S,2.9,xray,H:L,D,6i8s,2.9,xray,H:L,3CVM,2.02,xray,B,0,1,NA,0,0,0,0,0,0,0,0
6i8s_H+L|D_5,B:U,6I8S,2.9,xray,H:L,D,6i8s,2.9,xray,H:L,1DVN,2.1,xray,A,0,4,NA,0,0,0,0,0,0,0,0
6i8s_H+L|D_6,B:U,6I8S,2.9,xray,H:L,D,6i8s,2.9,xray,H:L,4G8R,2.19,xray,A,0,0,NA,0,0,0,0,0,0,0,0
6i8s_H+L|D_7,B:U,6I8S,2.9,xray,H:L,D,6i8s,2.9,xray,H:L,4G8R,2.19,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6i8s_E+I|A_0,B:U,6I8S,2.9,xray,E:I,A,6i8s,2.9,xray,E:I,3Q02,2.3,xray,A,0,5,NA,0,0,0,0,0,0,0,0
6i8s_E+I|A_1,B:U,6I8S,2.9,xray,E:I,A,6i8s,2.9,xray,E:I,3Q02,2.3,xray,B,0,5,NA,0,0,0,0,0,0,0,0
6i8s_E+I|A_2,B:U,6I8S,2.9,xray,E:I,A,6i8s,2.9,xray,E:I,1LJ5,1.8,xray,A,0,4,NA,0,0,0,0,0,0,0,0
6i8s_E+I|A_3,B:U,6I8S,2.9,xray,E:I,A,6i8s,2.9,xray,E:I,3CVM,2.02,xray,A,0,1,NA,0,0,0,0,0,0,0,0
6i8s_E+I|A_4,B:U,6I8S,2.9,xray,E:I,A,6i8s,2.9,xray,E:I,3CVM,2.02,xray,B,0,1,NA,0,0,0,0,0,0,0,0
6i8s_E+I|A_5,B:U,6I8S,2.9,xray,E:I,A,6i8s,2.9,xray,E:I,1DVN,2.1,xray,A,0,4,NA,0,0,0,0,0,0,0,0
6i8s_E+I|A_6,B:U,6I8S,2.9,xray,E:I,A,6i8s,2.9,xray,E:I,4G8R,2.19,xray,A,0,0,NA,0,0,0,0,0,0,0,0
6i8s_E+I|A_7,B:U,6I8S,2.9,xray,E:I,A,6i8s,2.9,xray,E:I,4G8R,2.19,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
