candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
4lvh_H+I|G_1,B:U,4LVH,2.8,xray,H:I,G,4lvh,2.8,xray,H:I,3UYW,1.9,xray,B,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_H+I|G_2,B:U,4LVH,2.8,xray,H:I,G,4lvh,2.8,xray,H:I,3UYW,1.9,xray,C,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_H+I|G_3,B:U,4LVH,2.8,xray,H:I,G,4lvh,2.8,xray,H:I,3UYW,1.9,xray,D,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_H+I|G_4,B:U,4LVH,2.8,xray,H:I,G,4lvh,2.8,xray,H:I,3MLH,2.09,xray,A,0,8,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_H+I|G_5,B:U,4LVH,2.8,xray,H:I,G,4lvh,2.8,xray,H:I,3MLH,2.09,xray,B,0,8,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_H+I|G_6,B:U,4LVH,2.8,xray,H:I,G,4lvh,2.8,xray,H:I,3UYX,1.8,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_H+I|G_7,B:U,4LVH,2.8,xray,H:I,G,4lvh,2.8,xray,H:I,3UYX,1.8,xray,B,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_E+F|D_0,B:U,4LVH,2.8,xray,E:F,D,4lvh,2.8,xray,E:F,3UYX,1.8,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_E+F|D_1,B:U,4LVH,2.8,xray,E:F,D,4lvh,2.8,xray,E:F,3UYX,1.8,xray,B,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_E+F|D_2,B:U,4LVH,2.8,xray,E:F,D,4lvh,2.8,xray,E:F,3MLH,2.09,xray,A,0,8,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_E+F|D_3,B:U,4LVH,2.8,xray,E:F,D,4lvh,2.8,xray,E:F,3MLH,2.09,xray,B,0,8,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_E+F|D_4,B:U,4LVH,2.8,xray,E:F,D,4lvh,2.8,xray,E:F,3UYW,1.9,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_E+F|D_5,B:U,4LVH,2.8,xray,E:F,D,4lvh,2.8,xray,E:F,3UYW,1.9,xray,B,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_E+F|D_6,B:U,4LVH,2.8,xray,E:F,D,4lvh,2.8,xray,E:F,3UYW,1.9,xray,C,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_E+F|D_7,B:U,4LVH,2.8,xray,E:F,D,4lvh,2.8,xray,E:F,3UYW,1.9,xray,D,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_K+L|J_0,B:U,4LVH,2.8,xray,K:L,J,4lvh,2.8,xray,K:L,3UYW,1.9,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_K+L|J_1,B:U,4LVH,2.8,xray,K:L,J,4lvh,2.8,xray,K:L,3UYW,1.9,xray,B,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_K+L|J_2,B:U,4LVH,2.8,xray,K:L,J,4lvh,2.8,xray,K:L,3UYW,1.9,xray,C,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_K+L|J_3,B:U,4LVH,2.8,xray,K:L,J,4lvh,2.8,xray,K:L,3UYW,1.9,xray,D,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_K+L|J_4,B:U,4LVH,2.8,xray,K:L,J,4lvh,2.8,xray,K:L,3UYX,1.8,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_K+L|J_5,B:U,4LVH,2.8,xray,K:L,J,4lvh,2.8,xray,K:L,3UYX,1.8,xray,B,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_K+L|J_6,B:U,4LVH,2.8,xray,K:L,J,4lvh,2.8,xray,K:L,3MLH,2.09,xray,A,0,8,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4lvh_K+L|J_7,B:U,4LVH,2.8,xray,K:L,J,4lvh,2.8,xray,K:L,3MLH,2.09,xray,B,0,8,NA,0,0,0,0,0,0,0,0,NA,NA,NA
