candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
6uc6_C|A_0,B:U,6UC6,2.32,xray,C,A,6uc6,2.32,xray,C,1G9B,2.0,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6uc6_C|A_1,B:U,6UC6,2.32,xray,C,A,6uc6,2.32,xray,C,1S0B,2.0,xray,A,0,0,NA,0,0,0,0,0,0,0,0
6uc6_C|A_3,B:U,6UC6,2.32,xray,C,A,6uc6,2.32,xray,C,1EPW,1.9,xray,A,0,0,NA,0,0,0,0,0,0,0,0
6uc6_C|A_4,B:U,6UC6,2.32,xray,C,A,6uc6,2.32,xray,C,1Z0H,2.0,xray,A,0,0,NA,0,0,0,0,0,0,0,0
6uc6_C|A_5,B:U,6UC6,2.32,xray,C,A,6uc6,2.32,xray,C,1Z0H,2.0,xray,B,0,0,NA,0,0,0,0,0,0,0,0
6uc6_D|B_0,B:U,6UC6,2.32,xray,D,B,6uc6,2.32,xray,D,1EPW,1.9,xray,A,0,0,NA,0,0,0,0,0,0,0,0
6uc6_D|B_1,B:U,6UC6,2.32,xray,D,B,6uc6,2.32,xray,D,1Z0H,2.0,xray,A,0,0,NA,0,0,0,0,0,0,0,0
6uc6_D|B_2,B:U,6UC6,2.32,xray,D,B,6uc6,2.32,xray,D,1Z0H,2.0,xray,B,0,0,NA,0,0,0,0,0,0,0,0
6uc6_D|B_3,B:U,6UC6,2.32,xray,D,B,6uc6,2.32,xray,D,1S0E,1.9,xray,A,0,0,NA,0,0,0,0,0,0,0,0
6uc6_D|B_4,B:U,6UC6,2.32,xray,D,B,6uc6,2.32,xray,D,1G9B,2.0,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6uc6_D|B_5,B:U,6UC6,2.32,xray,D,B,6uc6,2.32,xray,D,1S0B,2.0,xray,A,0,0,NA,0,0,0,0,0,0,0,0
