candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
4zpt_H+L|S_3,B:U,4ZPT,2.59,xray,H:L,S,4zpt,2.59,xray,H:L,4KQZ,2.51,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4zpt_A+B|R_4,B:U,4ZPT,2.59,xray,A:B,R,4zpt,2.59,xray,A:B,4KQZ,2.51,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4zpt_A+B|R_5,B:U,4ZPT,2.59,xray,A:B,R,4zpt,2.59,xray,A:B,4KQZ,2.51,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4zpv_H+L|R_0,B:U,4ZPV,3.2,xray,H:L,R,4zpv,3.2,xray,H:L,4L3N,2.13,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4zpv_H+L|R_2,B:U,4ZPV,3.2,xray,H:L,R,4zpv,3.2,xray,H:L,4KQZ,2.51,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4zpv_A+B|S_1,B:U,4ZPV,3.2,xray,A:B,S,4zpv,3.2,xray,A:B,4L3N,2.13,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4zpv_A+B|S_3,B:U,4ZPV,3.2,xray,A:B,S,4zpv,3.2,xray,A:B,4KQZ,2.51,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4zpt_H+L|S_0,B:U,4ZPT,2.59,xray,H:L,S,4zpt,2.59,xray,H:L,4L3N,2.13,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4zpt_H+L|S_2,B:U,4ZPT,2.59,xray,H:L,S,4zpt,2.59,xray,H:L,4KQZ,2.51,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4zpt_A+B|R_0,B:U,4ZPT,2.59,xray,A:B,R,4zpt,2.59,xray,A:B,4L3N,2.13,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4zpt_A+B|R_1,B:U,4ZPT,2.59,xray,A:B,R,4zpt,2.59,xray,A:B,4L3N,2.13,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4zpt_A+B|R_3,B:U,4ZPT,2.59,xray,A:B,R,4zpt,2.59,xray,A:B,4KQZ,2.51,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4zpt_A+B|R_6,B:U,4ZPT,2.59,xray,A:B,R,4zpt,2.59,xray,A:B,4L3N,2.13,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4zpt_A+B|R_7,B:U,4ZPT,2.59,xray,A:B,R,4zpt,2.59,xray,A:B,4L3N,2.13,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4zpv_H+L|R_1,B:U,4ZPV,3.2,xray,H:L,R,4zpv,3.2,xray,H:L,4L3N,2.13,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4zpv_H+L|R_3,B:U,4ZPV,3.2,xray,H:L,R,4zpv,3.2,xray,H:L,4KQZ,2.51,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4zpv_A+B|S_0,B:U,4ZPV,3.2,xray,A:B,S,4zpv,3.2,xray,A:B,4L3N,2.13,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4zpv_A+B|S_2,B:U,4ZPV,3.2,xray,A:B,S,4zpv,3.2,xray,A:B,4KQZ,2.51,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
