comp_name,candidate_type,candidate_id,pdb_id_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_chain_ids_u,ag_pdb_id_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps,one_side_gaps,long_gaps,total_gaps
4s10_B|D,U:U,10,4S10,B,D,4S11,A,6QW3,A,0,2,NA,0,1,0,2
4s10_A|C,U:U,0,4S10,A,C,4S11,A,1KCQ,A,0,2,NA,0,1,0,1
4s10_A|C,U:U,10,4S10,A,C,4S11,A,6QW3,A,0,2,NA,0,1,0,2
4s10_B|D,U:U,5,4S10,B,D,4S11,A,5FAF,A,0,3,NA,0,1,0,2
4s10_B|D,U:U,15,4S10,B,D,4S11,A,5FAE,A,0,3,NA,0,1,0,3
4s10_A|C,U:U,5,4S10,A,C,4S11,A,5FAF,A,0,3,NA,0,1,0,2
4s10_A|C,U:U,15,4S10,A,C,4S11,A,5FAE,A,0,3,NA,0,1,0,3
4s10_B|D,U:U,1,4S10,B,D,2X1P,A,1KCQ,A,9,2,NA,0,1,0,2
4s10_B|D,U:U,2,4S10,B,D,2X1P,B,1KCQ,A,9,2,NA,0,1,0,3
4s10_B|D,U:U,3,4S10,B,D,2X1P,C,1KCQ,A,9,2,NA,0,1,0,2
4s10_A|C,U:U,1,4S10,A,C,2X1P,A,1KCQ,A,9,2,NA,0,1,0,2
4s10_A|C,U:U,2,4S10,A,C,2X1P,B,1KCQ,A,9,2,NA,0,1,0,3
4s10_A|C,U:U,3,4S10,A,C,2X1P,C,1KCQ,A,9,2,NA,0,1,0,2
4s10_B|D,U:U,4,4S10,B,D,2X1P,D,1KCQ,A,9,2,NA,1,1,0,3
4s10_B|D,U:U,11,4S10,B,D,2X1P,A,6QW3,A,9,2,NA,1,1,0,4
4s10_B|D,U:U,12,4S10,B,D,2X1P,B,6QW3,A,9,2,NA,1,1,0,4
4s10_B|D,U:U,13,4S10,B,D,2X1P,C,6QW3,A,9,2,NA,1,1,0,4
4s10_B|D,U:U,14,4S10,B,D,2X1P,D,6QW3,A,9,2,NA,1,1,0,4
4s10_A|C,U:U,4,4S10,A,C,2X1P,D,1KCQ,A,9,2,NA,1,1,0,3
4s10_A|C,U:U,11,4S10,A,C,2X1P,A,6QW3,A,9,2,NA,1,1,0,4
4s10_A|C,U:U,12,4S10,A,C,2X1P,B,6QW3,A,9,2,NA,1,1,0,4
4s10_A|C,U:U,13,4S10,A,C,2X1P,C,6QW3,A,9,2,NA,1,1,0,4
4s10_A|C,U:U,14,4S10,A,C,2X1P,D,6QW3,A,9,2,NA,1,1,0,4
4s10_B|D,U:U,6,4S10,B,D,2X1P,A,5FAF,A,9,3,NA,1,1,0,4
4s10_B|D,U:U,7,4S10,B,D,2X1P,B,5FAF,A,9,3,NA,1,1,0,4
4s10_B|D,U:U,8,4S10,B,D,2X1P,C,5FAF,A,9,3,NA,1,1,0,4
4s10_B|D,U:U,9,4S10,B,D,2X1P,D,5FAF,A,9,3,NA,1,1,0,4
4s10_B|D,U:U,16,4S10,B,D,2X1P,A,5FAE,A,9,3,NA,1,1,0,5
4s10_B|D,U:U,17,4S10,B,D,2X1P,B,5FAE,A,9,3,NA,1,1,0,5
4s10_B|D,U:U,18,4S10,B,D,2X1P,C,5FAE,A,9,3,NA,1,1,0,5
4s10_B|D,U:U,19,4S10,B,D,2X1P,D,5FAE,A,9,3,NA,1,1,0,5
4s10_A|C,U:U,6,4S10,A,C,2X1P,A,5FAF,A,9,3,NA,1,1,0,4
4s10_A|C,U:U,7,4S10,A,C,2X1P,B,5FAF,A,9,3,NA,1,1,0,4
4s10_A|C,U:U,8,4S10,A,C,2X1P,C,5FAF,A,9,3,NA,1,1,0,4
4s10_A|C,U:U,9,4S10,A,C,2X1P,D,5FAF,A,9,3,NA,1,1,0,4
4s10_A|C,U:U,16,4S10,A,C,2X1P,A,5FAE,A,9,3,NA,1,1,0,5
4s10_A|C,U:U,17,4S10,A,C,2X1P,B,5FAE,A,9,3,NA,1,1,0,5
4s10_A|C,U:U,18,4S10,A,C,2X1P,C,5FAE,A,9,3,NA,1,1,0,5
4s10_A|C,U:U,19,4S10,A,C,2X1P,D,5FAE,A,9,3,NA,1,1,0,5
